time_index,load_mw,voltage_kv,frequency_hz,solar_mw,wind_mw,hydro_mw,thermal_mw,reactive_power_mvar,power_factor,demand_forecast_mw,import_mw,export_mw,line_temp_c,transformer_load_pct,substation_pressure_kpa,frequency_setpoint_hz,frequency_error_mhz,var_comp_alert,humidity_pct,ambient_temp_c,wind_speed_ms,irradiance_wm2,barometric_kpa,rainfall_mm,pmu_angle_deg,pmu_magnitude,battery_soc_pct,ev_charging_kw,grid_loss_pct,cyber_signal_offset
38,0.32939684,0.36202618,0.66390383,0.16009332,0.5377295,0.7925664,0.78877145,0.42627823,0.42818868,0.2835817,0.36234343,0.5712603,0.31324,0.37594253,0.8046808,0.79489166,0.7869427,0.85391617,0.4588446,0.20490488,0.546826,0.06567026,0.7857108,0.716669,0.7927118,0.78373694,0.34445542,0.35071757,0.78987956,0.6670258
39,0.32994688,0.3630452,0.6628407,0.1612824,0.5391043,0.79373026,0.7884237,0.42603496,0.4283011,0.28405616,0.3626239,0.57238144,0.31326792,0.37563398,0.8053213,0.7943792,0.7859755,0.8533798,0.4584416,0.20463358,0.54706,0.06672816,0.78516096,0.716797,0.79220736,0.78348875,0.34445643,0.35097605,0.78945005,0.6665038
40,0.33048755,0.36498153,0.6621505,0.16293773,0.54117936,0.7937059,0.78755516,0.42563382,0.4278707,0.28437084,0.3605818,0.57306117,0.31306285,0.3756657,0.8048071,0.7956072,0.7853189,0.8544192,0.45851985,0.20468807,0.5472734,0.06884177,0.7844296,0.7166159,0.79250014,0.78296643,0.34469807,0.35144833,0.78963643,0.66785127
41,0.33119568,0.3673111,0.6640843,0.16430637,0.54427356,0.7947044,0.7879859,0.42597985,0.42839688,0.2848729,0.36059752,0.57493037,0.3137003,0.37609947,0.8053178,0.7958143,0.785913,0.8549943,0.45897675,0.20496239,0.54735273,0.071587905,0.78544265,0.71678716,0.79135954,0.78280413,0.3456932,0.3510283,0.7897313,0.6703747
42,0.33257905,0.3696634,0.6665796,0.1659714,0.5475246,0.79395455,0.7881879,0.42663857,0.4293329,0.2859446,0.36034212,0.57754767,0.31488276,0.37727585,0.80488694,0.79564506,0.78609854,0.8558878,0.45873228,0.20547092,0.5481828,0.07443827,0.7856483,0.71684355,0.7914964,0.78341794,0.3456804,0.35187438,0.79112387,0.67170554
43,0.33404255,0.37206033,0.6684244,0.16748938,0.55172884,0.7931987,0.7888624,0.42711714,0.429913,0.28646296,0.36025855,0.57963604,0.31586632,0.37763333,0.8050596,0.79592705,0.7848775,0.85612935,0.4589083,0.20604946,0.54948735,0.077524096,0.7864958,0.71652,0.79174805,0.78321564,0.345821,0.35297987,0.7907521,0.67443496
44,0.33598566,0.37433165,0.6703233,0.16911536,0.55592513,0.7925728,0.78834856,0.42642808,0.4292939,0.28751805,0.35889566,0.5811793,0.31695202,0.37877384,0.80427057,0.7961474,0.7842017,0.85742104,0.45922914,0.20640108,0.5510465,0.08093118,0.78683263,0.7163799,0.7926674,0.78279346,0.34576848,0.35340685,0.7913678,0.67613524
45,0.3378828,0.3760495,0.67241585,0.17026986,0.56085604,0.7910634,0.7879125,0.42634326,0.42921206,0.28843108,0.35975745,0.5829855,0.3181527,0.3800335,0.8050511,0.7967441,0.78413117,0.85830253,0.45916846,0.20715438,0.5518887,0.08402659,0.78642094,0.7162737,0.79398346,0.7820675,0.34558585,0.35321006,0.7908905,0.6787231
46,0.34043828,0.37714642,0.67568445,0.1709441,0.56569296,0.7908865,0.7886214,0.42660347,0.42958722,0.2898095,0.3607928,0.58601046,0.31899926,0.3814598,0.8052443,0.799139,0.7841826,0.8575748,0.45910084,0.2078043,0.5538468,0.08669453,0.78664595,0.71630293,0.79414344,0.78119963,0.3455263,0.35348144,0.7914031,0.68256503
47,0.34274855,0.37748283,0.680666,0.17077333,0.5693353,0.7914543,0.7888808,0.42676592,0.42985898,0.29120055,0.36198214,0.5875121,0.31945917,0.3822396,0.80552626,0.80038154,0.78520936,0.8576875,0.45972368,0.20835349,0.55707437,0.089063555,0.7877968,0.7162767,0.7942215,0.78081083,0.34525996,0.35354206,0.7916637,0.6859556
