fpr,tpr,threshold
0.44176013805004316,0.4855072463768116,0.58280283
0.45211389128559104,0.4855072463768116,0.5817621
0.45211389128559104,0.4927536231884058,0.58166486
0.455565142364107,0.4927536231884058,0.5812025
0.455565142364107,0.5,0.58115906
0.46505608283002586,0.5,0.5800328
0.46505608283002586,0.5144927536231884,0.57969135
0.4659188955996549,0.5144927536231884,0.5795724
0.4659188955996549,0.5362318840579711,0.5790774
0.4710957722174288,0.5362318840579711,0.5788308
0.4710957722174288,0.5434782608695652,0.5786048
0.4745470232959448,0.5434782608695652,0.57835704
0.4745470232959448,0.5507246376811594,0.5782415
0.47540983606557374,0.5507246376811594,0.5782309
0.47540983606557374,0.5579710144927537,0.57817394
0.4831751509922347,0.5579710144927537,0.57721114
0.4831751509922347,0.5652173913043478,0.57704085
